,date,device,text,location
13,2016-09-22 23:50:09,Google,Yahoo says hackers stole data from 500 million accounts in 2014 https://t.co/bqFVPonnne,
14,2016-09-22 23:50:09,Twitter for Android,Are you a Yahoo user? Here's what to do to keep yourself safe after the revelation of a massive data breach. https://t.co/JFNtGqBplh,
15,2016-09-22 23:50:07,dlvr.it,"Yahoo hit in worst hack ever, 500 million accounts swiped - CNET https://t.co/1jKrfj2V2O",
16,2016-09-22 23:50:03,dickyTweeet,Hack Brief: Yahoo Breach Hits Half a Billion Users https://t.co/y5fHphmsPB,
17,2016-09-22 23:50:00,Twitter for Android,"Wait, what? Only 2 days ago?

CNN Money: ""Verizon only learned about Yahoo's massive data breach 2 days ago” https://t.co/9wfkG5D8Cy",
18,2016-09-22 23:49:54,Twitter for iPad,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
19,2016-09-22 23:49:49,Twitter for iPhone,Yahoo says 500 million accounts stolen https://t.co/YkxhpEyJ5Y,
20,2016-09-22 23:49:39,dlvr.it,Yahoo confirms 500 million users affected by largest-ever data breach: is your money safe? https://t.co/ISmgl0rGGk,
21,2016-09-22 23:49:29,IFTTT,Yahoo confirms huge data breach | Crunch Report https://t.co/PygHMHYP8o,
22,2016-09-22 23:49:28,IFTTT,Yahoo Confirms Data Breach Affecting At Least 500 Million Users #MKTG https://t.co/8CTZ2dSrZu #Marketing,
23,2016-09-22 23:49:27,Twitter for iPhone,"The only way Yahoo have managed to get me to login over the past decade, is to change my password following a data breach.
#ff @troyhunt",
24,2016-09-22 23:49:24,twitterfeed,Yahoo Confirms Data Breach Affecting At Least 500 Million Users: Yahoo said the personal information of at le... https://t.co/SDPvK9ApSj,
25,2016-09-22 23:49:23,twitterfeed,#advertising Yahoo Confirms Data Breach Affecting At Least 500 Million Users: Yahoo s... https://t.co/DyLLe6ryIy https://t.co/0TOfn7LOWZ,
26,2016-09-22 23:49:21,twitterfeed,#rankage reviews Yahoo Confirms Data Breach Affecting At Least 500 Million Users: Yahoo said the personal inf... https://t.co/VNK6FQVI3l,
27,2016-09-22 23:49:21,twitterfeed,Yahoo Confirms Data Breach Affecting At Least 500 Million Users https://t.co/Iecqm569eg,
28,2016-09-22 23:49:20,Twitter for iPhone,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
29,2016-09-22 23:48:56,Twitter for Android,"""Yahoo confirms massive leak of 500 million user accounts"" https://t.co/Mg4nEpg5Vz #tech #feedly",
30,2016-09-22 23:48:53,Twitter Web Client,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
31,2016-09-22 23:48:51,Twitter for Android,Verizon said it only learned 2 days ago that Yahoo was hit with a massive security breach https://t.co/nIGDgutER4 https://t.co/byy5qyr77J,
32,2016-09-22 23:48:51,TweetDeck,"PSA: ""Yahoo is expected to confirm a massive data breach, impacting hundreds of millions of users"" ( https://t.co/UYcv058pj4 )",
33,2016-09-22 23:48:48,twitterfeed,"Yahoo hit in worst hack ever, 500 million accounts swiped     - CNET: The internet company, being bought by V... https://t.co/y73PHDErUN",
34,2016-09-22 23:48:48,Twitter Web Client,Yahoo says 500 million accounts stolen https://t.co/XPYv8OA6An via @CNNMoney,
