,date,device,text,location
50,2017-09-07 22:59:34,Twitter for iPhone,BREAKING: Credit reporting agency Equifax reports cyber attack potentially impacting 143 million U.S. Costumers credit cards etc.,
51,2017-09-07 22:59:25,Twitter for Windows,Equifax says it was hit by a cyber attack that may have affected about 143 million customers https://t.co/7pf1TlXWkn https://t.co/TQtRsJTgq1,
52,2017-09-07 22:59:25,Twitter for iPad,Equifax Says Cyber Attack May Have Hit 143 Million Customers https://t.co/QzLjffC45X via @business,
53,2017-09-07 22:59:25,Twitter for iPhone,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/K22nWPtF50,
54,2017-09-07 22:59:10,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
55,2017-09-07 22:59:09,Twitter for iPhone,Credit bureau Equifax says 143 million Americans may have had their data stolen in a cyber attack https://t.co/bsdSJzxI2u https://t.co/F1206ly0zU,
56,2017-09-07 22:58:21,Twitter for iPhone,A cyber attack has exposed the sensitive data of 143 million Americans https://t.co/VN2kkmRrGN https://t.co/XR7LCKfhi6,
57,2017-09-07 22:58:16,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
58,2017-09-07 22:57:54,Echofon,BREAKING: Credit reporting agency Equifax reports cyber attack potentially impacting 143 million U.S. Costumers credit cards etc.,
59,2017-09-07 22:57:51,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
60,2017-09-07 22:57:49,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
61,2017-09-07 22:57:31,Twitter Web Client,#BREAKING: @Equifax data breach may have exposed personal info of 143 million consumers! See if you were affected: https://t.co/Oy1z9JhtUh,
62,2017-09-07 22:57:28,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
63,2017-09-07 22:57:24,IFTTT,Equifax says personal data of 143 million customers exposed in cyber attack https://t.co/A0C90dwH1c https://t.co/08TbYnCHVI https://t.co/RycGuxaPXl,
64,2017-09-07 22:56:44,Twitter for iPhone,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/K22nWPtF50,
65,2017-09-07 22:56:11,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
66,2017-09-07 22:55:50,Twitter for iPhone,Credit bureau Equifax says 143 million Americans may have had their data stolen in a cyber attack https://t.co/bsdSJzxI2u https://t.co/F1206ly0zU,
67,2017-09-07 22:55:48,Twitter for iPhone,Credit bureau Equifax says 143 million Americans may have had their data stolen in a cyber attack https://t.co/bsdSJzxI2u https://t.co/F1206ly0zU,
68,2017-09-07 22:55:28,WordPress.com,Equifax says personal data of 143 million customers exposed in cyber attack https://t.co/Spu7V7jdjv,
69,2017-09-07 22:54:06,Twitter for Android,BREAKING: Credit reporting agency Equifax reports cyber attack potentially impacting 143 million U.S. Costumers credit cards etc.,
70,2017-09-07 22:53:55,Twitter for iPad,Equifax Says Cyber Attack May Have Hit 143 Million Customers - Democratic Underground https://t.co/fBFKpRlYtb,
